USERID,OPENID,IP,TIME
104514,orFHpwMliKgQPT8LcHNE0hQhI2X4,121.25.192.162,2016-08-07 11:30:38
104516,oKdjLwqdS-1XAZQTSxc60nUCabyw,60.15.84.182,2016-08-07 11:30:35
104518,oKdjLwp3665G6icgwNEE5Axb-iDk,60.223.125.142,2016-08-07 11:30:31
104501,oKdjLwr50MqDiklPvW79lzXzYYug,60.221.134.25,2016-08-07 11:30:29
66435,orFHpwF26KEZXyvTN0SN1XAdlT3E,118.81.240.2,2016-08-07 11:30:18
104513,oKdjLwj5pb1bXUrmzYVB3gczUfMI,221.204.88.161,2016-08-07 11:30:08
104507,oKdjLwk_xbnOEGiKYAgO0dlKmahU,60.221.134.185,2016-08-07 11:30:04
104510,oKdjLwqTuCUSG4YjnvXXiNnaFxII,183.186.74.83,2016-08-07 11:30:03
104508,oKdjLwvWfumGb1-Wsjo7cXaoYX-o,27.190.3.29,2016-08-07 11:30:03
104488,oKdjLwqrciUx25lJ9IYSbvkrQCKw,223.14.104.31,2016-08-07 11:29:53
104494,oKdjLwkWU5HZabC8czpHg4pYDSOI,36.149.39.233,2016-08-07 11:29:38
66741,orFHpwK5aeoxLlwsmrzYUipwXNHM,27.190.3.29,2016-08-07 11:29:31
104487,oKdjLwtArfXJi2roSWZ48CfnMQ54,27.199.207.116,2016-08-07 11:29:21
104490,oKdjLwqE585ZG1Wgi5VuHKI2iFBo,113.27.122.229,2016-08-07 11:29:18
104485,oKdjLwhfn4_8cV25reWQgyjXUqSE,42.203.169.25,2016-08-07 11:29:08
104483,oKdjLwhDGPqJLdM5scGreqKMmigo,221.8.151.247,2016-08-07 11:29:06
104481,oKdjLwpEv49v5rNYZy4NCVcuXZl4,101.247.188.176,2016-08-07 11:29:00
104480,oKdjLwsI-_cXkvog8BKbOmV3FR9o,180.212.201.81,2016-08-07 11:28:59
104477,oKdjLwpP8ORh92s5DaPMmW5tQeeo,183.202.214.172,2016-08-07 11:28:53
104464,orFHpwGKSq58T3d_-7GFXyRspEeE,183.202.94.1,2016-08-07 11:28:53
97355,orFHpwD5IggkYvbKJZXvNG3pHrfk,106.9.83.194,2016-08-07 11:28:49
104476,oKdjLwsr2RJ2rQmzfMqwdi2vsx-g,183.202.117.70,2016-08-07 11:28:47
104473,oKdjLwhhfG4wCU0SRcTjeNos6Hf4,117.136.90.66,2016-08-07 11:28:45
104474,oKdjLwlq2HcLRUijmZW_X2rwRV_o,113.231.61.29,2016-08-07 11:28:45
104475,oKdjLwpXWTsEHwPei5EYlLOpJ3IY,113.27.122.229,2016-08-07 11:28:42
104470,oKdjLwlJSen0gAA3s9NDeNFXwxjk,106.119.30.147,2016-08-07 11:28:35
66841,orFHpwA2jhrHJ1qK8SZECCazgY84,223.96.156.97,2016-08-07 11:28:31
104469,orFHpwJs0BjGW1TbhJHeOrjfGma4,101.247.188.176,2016-08-07 11:28:29
104467,orFHpwJz7PKDGTxzmQg_VgRyIT6U,218.61.246.233,2016-08-07 11:28:29
66805,orFHpwCh5TSsw9Sq8M0vJKsANcbk,180.212.201.81,2016-08-07 11:28:24
66780,orFHpwF2GaPUHHtB_dIEr76JB-bQ,113.3.163.2,2016-08-07 11:28:17
104465,orFHpwLE4qjMaTKSDGGZ5R62gAdU,118.28.37.46,2016-08-07 11:28:14
66731,orFHpwIWiBX3sEpkFUDIcfW3fQZM,113.27.122.229,2016-08-07 11:28:14
104463,oKdjLwgIKU1ZT2jtXWyv0W1D0B2c,183.202.240.190,2016-08-07 11:28:03
66612,orFHpwIBQ4iHNWTP7JW6Si46CJBI,183.202.117.70,2016-08-07 11:27:53
104459,oKdjLwmpVCT8PShUoOo_MuHYvxv0,36.110.192.34,2016-08-07 11:27:47
104452,oKdjLwgmmF8G4CknWFZFa-wMI1W0,113.76.193.35,2016-08-07 11:27:34
104436,orFHpwL886grt8HUM4SIJAQUdPfY,100.61.185.151,2016-08-07 11:27:30
104449,oKdjLwrATpbd0z3lnuOwwNQlSEsA,180.212.201.81,2016-08-07 11:27:24
104443,oKdjLwuUCvEHMFMA9KoarccCxPiQ,117.84.113.131,2016-08-07 11:27:09
104437,orFHpwHnCzwuHfPdLymTA8ytowjE,183.202.214.172,2016-08-07 11:26:56
104433,oKdjLwlwAvnp8uxry3TThbenW6aE,183.202.214.155,2016-08-07 11:26:49
104432,orFHpwHPFmScwyGmKxEOR_Skprw0,175.173.181.200,2016-08-07 11:26:46
36281,orFHpwKJPSHov0n-ICcluT1qGa-Y,223.14.104.31,2016-08-07 11:26:38
104418,oKdjLwnvlQDnuV78xY8UmaCg7nco,183.202.25.26,2016-08-07 11:26:37
104422,oKdjLwo1JK9sUjJmJ2hhQSF0_ESc,171.120.91.218,2016-08-07 11:26:35
36279,orFHpwA_oiUU_WGBrox6tFsUy7Go,223.14.104.31,2016-08-07 11:26:31
104419,oKdjLwqxe34dwm9wPAZqMHo31PNc,113.3.144.68,2016-08-07 11:26:21
66734,orFHpwIYdSisG8pFYw6ChU-XbJ3I,118.77.203.57,2016-08-07 11:26:19
104417,oKdjLwlCq7DgV0-YeZZrRlwgDPBY,113.5.132.165,2016-08-07 11:26:14
66747,orFHpwNLIxV0QUFmV0yBasjr9LAw,202.111.138.11,2016-08-07 11:26:09
104415,orFHpwK4nLsSuuvYfdm71TLHMCsQ,221.204.88.161,2016-08-07 11:26:08
104411,oKdjLwiF76tdw2w1VMlHvtWQaVGk,124.163.111.174,2016-08-07 11:25:58
104406,orFHpwAhVFvCLnC4HHB4Rv3Hf8i4,14.157.40.230,2016-08-07 11:25:55
104407,oKdjLwkkCevB-Bi7h2bjjGepHfRk,171.126.26.144,2016-08-07 11:25:51
104399,orFHpwG7wR9V9NyWBpn8bBTbslUo,39.68.254.179,2016-08-07 11:25:50
104327,orFHpwAWflALthijLC308Sag5AK0,183.202.214.155,2016-08-07 11:25:47
104330,orFHpwDtzt_5oCdYM-75ZKM--EdU,171.120.91.218,2016-08-07 11:25:46
104296,orFHpwDWCXPhMtaNhByYdYKW2tyI,60.223.112.184,2016-08-07 11:25:42
66773,orFHpwErpBnF-RdsOW6g5Ayj4F5E,183.202.25.26,2016-08-07 11:25:37
66856,orFHpwDQSt7rMdnwQfky4SDiOsa8,124.163.111.174,2016-08-07 11:25:34
104364,orFHpwLIvFKsHwsd8AWBEPdomxuk,39.68.254.179,2016-08-07 11:25:32
95002,orFHpwN_OqYoLBQ61Cb3Ft3cXqng,171.126.26.144,2016-08-07 11:25:27
104393,orFHpwEY6oljHaBa3A3GPfUXXyyE,221.8.151.247,2016-08-07 11:25:24
104394,orFHpwGonxRMAHxlo3QcjqZbAtWo,183.202.240.190,2016-08-07 11:25:22
104391,oKdjLwrpdCZeLsGqrZ16otMGEKR8,124.163.111.174,2016-08-07 11:25:22
104389,orFHpwCBA4OryG6cixVt1ZhebwNw,36.110.192.34,2016-08-07 11:25:18
104346,orFHpwLaMNQqf7Ii2Rfp3v6JLLzo,106.119.30.147,2016-08-07 11:25:12
104376,orFHpwDlGVZFEHZ-m9rmnaxJkb1Q,36.149.39.233,2016-08-07 11:25:03
104370,orFHpwJX976lUubLO4MOHV2rZix4,117.136.90.66,2016-08-07 11:24:57
104369,orFHpwL2OZa6xgl_IzlsXAgMOEto,60.221.134.25,2016-08-07 11:24:56
66786,orFHpwGMMjCRlFIZ1WzQycqKi2dg,118.28.37.46,2016-08-07 11:24:55
66829,orFHpwHnJ_W-P1gTtoHNuF0Av82k,124.163.111.174,2016-08-07 11:24:32
104350,oKdjLwg3ofAUQg3lU5P8CLPCA-ZA,27.226.166.159,2016-08-07 11:24:25
104328,orFHpwIr1rx1_OHRLSuNjtZ6bgaE,113.5.132.165,2016-08-07 11:24:22
104291,orFHpwJVGlSSkdRtVwF-tN7ZX6Oo,223.104.14.95,2016-08-07 11:24:18
104335,oKdjLwnVrq2BeloX_6g0BAKu4Ug8,124.163.111.174,2016-08-07 11:24:15
104299,orFHpwPFWhNLJ4UvNRLDFfU6rH3A,1.63.20.191,2016-08-07 11:24:07
66740,orFHpwKObNj4AdFhtC6SRR9LJVho,60.221.134.185,2016-08-07 11:24:06
104312,orFHpwELkqTEFnW8uTm5qI5uLAPY,223.10.218.49,2016-08-07 11:23:58
104313,orFHpwHg61SraLSBbGDU3Nwzmz3Q,111.41.238.181,2016-08-07 11:23:58
104318,oKdjLwv3J9_QiTsarqlWOebIUHq0,115.220.184.152,2016-08-07 11:23:55
83988,orFHpwLIal1_Fqc_Cq6ApOAM8IaI,110.181.148.209,2016-08-07 11:23:55
104286,orFHpwB_h3-NOMv0sHf4ZsaGX4Wc,60.15.84.182,2016-08-07 11:23:54
104302,orFHpwHgKC7ep6c-F7WQCpAKr5C0,60.3.20.240,2016-08-07 11:23:48
104297,orFHpwLRyMX0cIITgW-1em3Xdg9Y,27.226.166.159,2016-08-07 11:23:46
66842,orFHpwH4FPzdM2P0KEt7N64TiFUE,180.212.201.81,2016-08-07 11:23:46
66820,orFHpwHeV6uHYUNO2KyDOEdohhrU,124.163.111.174,2016-08-07 11:23:41
104292,orFHpwEPr8djkHPoCqZgSw9RWRL4,27.199.207.116,2016-08-07 11:23:33
104294,orFHpwLcTejATcU9BpL5ukVDwfeM,113.76.193.35,2016-08-07 11:23:23
104293,orFHpwGUfR4nESw3qj5guekFhhtQ,115.220.184.152,2016-08-07 11:23:22
66460,orFHpwKGuhBgULeo6TiDtk14gohY,60.223.125.142,2016-08-07 11:23:20
104289,orFHpwBXeucgbLit57zixwwuZFwg,60.3.25.5,2016-08-07 11:23:19
66730,orFHpwGXfK_NMpSmU5KOs6H90S4g,117.84.113.131,2016-08-07 11:23:18
2025,orFHpwLmZuxDmtns1JR3KkjioDwA,42.203.169.25,2016-08-07 11:23:17
66732,orFHpwCEz5HQM4OgrIVgWsfb6Yd4,113.231.61.29,2016-08-07 11:23:17
104295,orFHpwKhEQPLhg6tnRfDb9YXYPyw,183.186.74.83,2016-08-07 11:23:16
104290,orFHpwJZRLtvK8fM4-cQjPd3kT3E,113.3.144.68,2016-08-07 11:23:09
66727,orFHpwLAn2BJjBZ7Gs_CQgIC1yCk,113.27.122.229,2016-08-07 11:23:05
104284,orFHpwAwCs6zLFQcU6FI1Cy7Q8PM,1.25.122.25,2016-08-07 11:22:52
97065,orFHpwB5hKcePrjRTXB26l1sYVF0,223.104.13.150,2016-08-07 11:20:18
64,orFHpwD4X0jWPqy23FW3_Wmey5MU,219.72.201.56,2016-08-07 11:19:12
103962,orFHpwA1de95q6Auaav9mxHYBDP4,121.27.88.208,2016-08-07 11:00:38
28719,orFHpwOhLpw_NfK3Ac1ThWxa4_LQ,123.180.50.22,2016-08-07 10:59:00
32259,orFHpwBCGr04l8Q5xigZb1d3EXvA,27.129.244.5,2016-08-07 10:53:35
86822,orFHpwK_CfpRI_CBmWjUz5vfMeTU,123.180.85.61,2016-08-07 10:19:16
38082,orFHpwJzPBXU-cgnAcynuK41FGnI,111.226.128.122,2016-08-07 10:06:31
103258,orFHpwFqsnxOzU8jIGkL2nhlaGVA,27.129.224.117,2016-08-07 09:44:47
64723,oBwEZv_7rg7QI95tkyC5mr75yuLs,110.246.204.255,2016-08-07 09:41:17
47290,orFHpwM4DJ-L_dhbq_xdRSYyMOiI,110.241.155.142,2016-08-07 09:37:08
27408,orFHpwJE6IRFmAXwI8cHUKjoyAmU,222.223.125.14,2016-08-07 09:21:58
103044,orFHpwHXate1zSsasHGNv4FMiYGg,183.204.6.2,2016-08-07 09:21:54
28240,orFHpwCCAsBIu1Erw3ns_ihvzQn8,60.6.230.210,2016-08-07 09:20:33
102953,orFHpwFfkzZqo92DSe_GoVE-fEkQ,60.3.175.220,2016-08-07 09:16:01
27782,orFHpwKVdxYW9wuo-CgYMX-CX3vo,106.112.70.35,2016-08-07 09:10:13
37637,orFHpwKitddRu4nwFI4R61oDMW-g,106.112.70.35,2016-08-07 09:09:12
27702,orFHpwLCgL_-r1cuwo5-hF6Zk7oA,106.112.70.35,2016-08-07 09:07:57
27634,orFHpwP0JwEYt6sm4oxtyHSe5Q6A,106.112.70.35,2016-08-07 09:06:29
40479,orFHpwCvFVcQU35KjP6yg5Xz1KO4,111.193.52.195,2016-08-07 08:44:04
30461,orFHpwIolt632lZG7kPuPTcSrBXc,101.73.245.69,2016-08-07 08:43:19
51562,orFHpwPZHeL6lfLg8jZ_DrSybZ1I,110.248.254.67,2016-08-07 07:31:56
